stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,MT_PRE,T,PT	232 	182 	89 	133 	128 	118 	148 	234 	526 	264 	8 	13 	8 	6 	2 	3 	1166 
EXP,MT_PRE,T,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EXP,MT_PRE,T,SE	1251 	835 	447 	473 	451 	335 	825 	361 	160 	165 	127 	168 	1002 	320 	476 	29 	84 
EXP,MT_PRE,T,SI	140 	179 	200 	188 	188 	116 	214 	316 	197 	236 	155 	156 	100 	86 	154 	48 	30 
EXP,MT_PRE,T,SK	1319 	1303 	2363 	671 	106 	417 	79 	85 	79 	123 	14 	7 	10 	35 	27 	20 	20 
EXP,MT_PRE,T,UK	: 	19486 	19506 	16480 	16293 	13353 	15568 	19036 	23428 	13802 	6662 	13273 	10137 	9030 	8075 	6985 	6077 
EXP,MT_PRE,THS_EUR,AT	41779 	30980 	20285 	22566 	32687 	86103 	133019 	36821 	46434 	83857 	149636 	38226 	23820 	24109 	28581 	56876 	32451 
EXP,MT_PRE,THS_EUR,BE	681502 	1006030 	909645 	565638 	344947 	388563 	405440 	278552 	231463 	137698 	48766 	20330 	30608 	48805 	68404 	40262 	155094 
EXP,MT_PRE,THS_EUR,BG	6208 	22213 	4254 	3740 	6926 	5989 	1553 	6316 	69721 	402322 	145635 	103165 	55848 	37080 	31981 	24059 	0 
EXP,MT_PRE,THS_EUR,CY	0 	68 	33 	267 	643 	242 	519 	837 	9445 	11286 	858 	0 	103 	20 	10 	21 	44 
